tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
695,6/1/2013 0:00,6/1/2013 0:11,444,Broadway & W 24 St,40.7423543,-73.98915076,434,9 Ave & W 18 St,40.74317449,-74.00366443,19678,Subscriber,1983,1
693,6/1/2013 0:00,6/1/2013 0:11,444,Broadway & W 24 St,40.7423543,-73.98915076,434,9 Ave & W 18 St,40.74317449,-74.00366443,16649,Subscriber,1984,1
2059,6/1/2013 0:00,6/1/2013 0:35,406,Hicks St & Montague St,40.69512845,-73.99595065,406,Hicks St & Montague St,40.69512845,-73.99595065,19599,Customer,NULL,0
123,6/1/2013 0:01,6/1/2013 0:03,475,E 15 St & Irving Pl,40.73524276,-73.98758561,262,Washington Park,40.6917823,-73.9737299,16352,Subscriber,1960,1
1521,6/1/2013 0:01,6/1/2013 0:26,2008,Little West St & 1 Pl,40.70569254,-74.01677685,310,State St & Smith St,40.68926942,-73.98912867,15567,Subscriber,1983,1
2028,6/1/2013 0:01,6/1/2013 0:35,485,W 37 St & 5 Ave,40.75038009,-73.98338988,406,Hicks St & Montague St,40.69512845,-73.99595065,18445,Customer,NULL,0
2057,6/1/2013 0:02,6/1/2013 0:36,285,Broadway & E 14 St,40.73454567,-73.99074142,532,S 5 Pl & S 5 St,40.710451,-73.960876,15693,Subscriber,1991,1
369,6/1/2013 0:03,6/1/2013 0:09,509,9 Ave & W 22 St,40.7454973,-74.00197139,521,8 Ave & W 31 St N,40.75096735,-73.99444208,16100,Subscriber,1981,1
1829,6/1/2013 0:03,6/1/2013 0:34,265,Stanton St & Chrystie St,40.72229346,-73.99147535,436,Hancock St & Bedford Ave,40.68216564,-73.95399026,15234,Subscriber,1984,1
829,6/1/2013 0:04,6/1/2013 0:18,404,9 Ave & W 14 St,40.7405826,-74.00550867,303,Mercer St & Spring St,40.72362738,-73.99949601,16400,Subscriber,1987,1
1316,6/1/2013 0:04,6/1/2013 0:26,423,W 54 St & 9 Ave,40.76584941,-73.98690506,314,Cadman Plaza West & Montague St,40.69383,-73.990539,19781,Subscriber,1960,1
1456,6/1/2013 0:04,6/1/2013 0:28,502,Henry St & Grand St,40.714215,-73.981346,532,S 5 Pl & S 5 St,40.710451,-73.960876,18886,Customer,NULL,0
386,6/1/2013 0:05,6/1/2013 0:11,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,365,Fulton St & Grand Ave,40.68223166,-73.9614583,19039,Subscriber,1981,1
924,6/1/2013 0:05,6/1/2013 0:20,486,Broadway & W 29 St,40.7462009,-73.98855723,521,8 Ave & W 31 St N,40.75096735,-73.99444208,16608,Customer,NULL,0
1233,6/1/2013 0:06,6/1/2013 0:27,527,E 33 St & 2 Ave,40.744023,-73.976056,296,Division St & Bowery,40.71413089,-73.9970468,14761,Subscriber,1987,1
512,6/1/2013 0:03,6/1/2013 0:12,309,Murray St & West St,40.7149787,-74.013012,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,19080,Subscriber,1979,2
505,6/1/2013 0:03,6/1/2013 0:12,309,Murray St & West St,40.7149787,-74.013012,347,Greenwich St & W Houston St,40.728846,-74.008591,16798,Subscriber,1984,1
833,6/1/2013 0:07,6/1/2013 0:21,503,E 20 St & Park Ave,40.73827428,-73.98751968,503,E 20 St & Park Ave,40.73827428,-73.98751968,19072,Customer,NULL,0
1818,6/1/2013 0:08,6/1/2013 0:38,257,Lispenard St & Broadway,40.71939226,-74.00247214,500,Broadway & W 51 St,40.76228826,-73.98336183,20349,Customer,NULL,0
